PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP_REG,MIN_REG,FGA_REG,FGM_REG,FG_PCT_REG,FG3A_REG,FG3M_REG,FG3_PCT_REG,FTA_REG,FTM_REG,FT_PCT_REG,PTS_REG,AST_REG,TOV_REG,REB_REG,OREB_REG,DREB_REG,PLUS_MINUS_REG,TS_PCT_REG,EFG_PCT_REG,GP_CLU,MIN_CLU,FGA_CLU,FGM_CLU,FG_PCT_CLU,FG3A_CLU,FG3M_CLU,FG3_PCT_CLU,FTA_CLU,FTM_CLU,FT_PCT_CLU,PTS_CLU,AST_CLU,TOV_CLU,REB_CLU,OREB_CLU,DREB_CLU,PLUS_MINUS_CLU,TS_PCT_CLU,EFG_PCT_CLU,GP_PO,MIN_PO,FGA_PO,FGM_PO,FG_PCT_PO,FG3A_PO,FG3M_PO,FG3_PCT_PO,FTA_PO,FTM_PO,FT_PCT_PO,PTS_PO,AST_PO,TOV_PO,REB_PO,OREB_PO,DREB_PO,PLUS_MINUS_PO,TS_PCT_PO,EFG_PCT_PO,CLUTCH_SCORE,SEASON
200765,Rajon Rondo,1610612746,LAC,45.0,17.1,4.8,2.1,0.442,2.0,0.8,0.404,0.4,0.4,0.941,5.4,4.4,1.8,2.4,0.4,2.0,0.5,0.5426045016077171,0.5208333333333334,4.0,1.7,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.3,0.0,0.3,-1.3,0.8333333333333334,1.0,13.0,16.9,4.1,1.4,0.34,2.2,0.8,0.393,0.9,0.6,0.667,4.2,3.8,1.1,2.6,0.3,2.3,-2.1,0.4670818505338079,0.43902439024390244,0.6080027866446658,2020-21
200768,Kyle Lowry,1610612761,TOR,46.0,34.8,13.0,5.7,0.436,7.2,2.8,0.396,3.5,3.0,0.875,17.2,7.3,2.7,5.4,0.8,4.6,-0.1,0.5914718019257221,0.5461538461538461,23.0,2.9,1.5,0.7,0.471,0.7,0.3,0.412,0.5,0.3,0.636,2.0,0.3,0.2,0.3,0.0,0.3,-2.3,0.5813953488372093,0.5666666666666667,,,,,,,,,,,,,,,,,,,,,0.5962926280709543,2020-21
200782,P.J. Tucker,1610612749,MIL,52.0,26.1,3.4,1.3,0.373,2.3,0.8,0.336,0.5,0.4,0.75,3.7,1.2,0.8,3.9,1.0,2.9,-3.4,0.511049723756906,0.5000000000000001,14.0,3.6,0.5,0.2,0.429,0.4,0.1,0.4,0.4,0.4,1.0,1.0,0.0,0.1,1.1,0.2,0.9,-1.3,0.7396449704142012,0.5,23.0,29.6,4.3,1.7,0.388,2.6,0.8,0.322,0.2,0.1,0.75,4.3,1.1,0.4,4.8,2.1,2.7,4.1,0.48997265268915224,0.48837209302325585,0.5914154861240768,2020-21
200794,Paul Millsap,1610612743,DEN,56.0,20.8,7.2,3.4,0.476,2.6,0.9,0.343,1.8,1.3,0.724,9.0,1.8,0.9,4.7,1.4,3.3,1.8,0.5630630630630631,0.5347222222222222,8.0,3.9,0.5,0.3,0.5,0.1,0.1,1.0,0.4,0.1,0.333,0.8,0.8,0.1,0.5,0.3,0.3,-2.0,0.591715976331361,0.7,9.0,12.1,5.6,2.4,0.44,2.6,0.7,0.261,1.4,0.9,0.615,6.4,1.7,0.9,3.9,1.0,2.9,-1.0,0.5148005148005149,0.4910714285714286,0.5554272044647016,2020-21
201142,Kevin Durant,1610612751,BKN,35.0,33.1,17.2,9.3,0.537,5.4,2.4,0.45,6.8,6.0,0.882,26.9,5.6,3.4,7.1,0.4,6.7,8.0,0.6661053882725831,0.6104651162790697,18.0,3.8,1.8,0.9,0.485,0.8,0.2,0.286,2.0,1.7,0.861,3.7,0.2,0.4,0.9,0.0,0.9,1.1,0.6902985074626865,0.5555555555555556,12.0,40.4,23.5,12.1,0.514,6.8,2.8,0.402,8.4,7.3,0.871,34.3,4.4,3.5,9.3,0.4,8.8,2.8,0.6306074422709221,0.574468085106383,0.6668859046135818,2020-21
201143,Al Horford,1610612738,BOS,28.0,27.9,12.9,5.8,0.45,5.4,2.0,0.368,0.8,0.6,0.818,14.2,3.4,1.0,6.7,1.0,5.7,-3.6,0.5357681859341985,0.5271317829457364,14.0,4.1,1.8,0.6,0.32,0.9,0.3,0.308,0.2,0.2,1.0,1.6,0.4,0.1,1.1,0.3,0.9,-0.3,0.423728813559322,0.41666666666666663,,,,,,,,,,,,,,,,,,,,,0.47502875938862554,2020-21
201144,Mike Conley,1610612762,UTA,51.0,29.4,12.5,5.6,0.444,6.6,2.7,0.412,2.8,2.4,0.852,16.2,6.0,1.9,3.5,0.7,2.8,10.7,0.5898630935042237,0.5559999999999999,22.0,2.7,1.1,0.6,0.583,0.5,0.2,0.5,0.8,0.6,0.824,2.1,0.4,0.3,0.5,0.0,0.5,1.1,0.7231404958677685,0.6363636363636362,6.0,29.3,11.3,4.8,0.426,6.2,3.0,0.486,2.7,2.7,1.0,15.3,7.7,2.3,3.5,0.5,3.0,7.2,0.6125880845611787,0.5575221238938053,0.6544513898198455,2020-21
201145,Jeff Green,1610612751,BKN,68.0,27.0,7.8,3.8,0.492,3.7,1.5,0.412,2.4,1.8,0.776,11.0,1.6,0.8,3.9,0.5,3.4,1.7,0.6210478771454381,0.5833333333333334,32.0,3.3,0.6,0.3,0.4,0.3,0.1,0.333,0.4,0.3,0.833,0.9,0.2,0.1,0.4,0.0,0.4,0.6,0.5798969072164949,0.5833333333333334,6.0,24.7,5.5,2.7,0.485,3.0,1.7,0.556,1.3,1.2,0.875,8.2,1.7,0.5,2.8,0.7,2.2,2.7,0.6752305665349143,0.6454545454545455,0.6421145395551833,2020-21
201152,Thaddeus Young,1610612741,CHI,68.0,24.3,9.7,5.4,0.559,0.7,0.2,0.267,1.7,1.0,0.628,12.1,4.3,2.0,6.2,2.5,3.8,2.1,0.5790581929555897,0.5670103092783506,29.0,2.8,0.8,0.4,0.565,0.0,0.0,1.0,0.3,0.2,0.6,1.1,0.4,0.3,0.8,0.3,0.5,0.0,0.5901287553648069,0.5,,,,,,,,,,,,,,,,,,,,,0.5946859905746299,2020-21
201188,Marc Gasol,1610612747,LAL,52.0,19.1,3.7,1.7,0.454,2.3,1.0,0.41,1.0,0.7,0.72,5.0,2.1,1.0,4.1,0.7,3.4,1.7,0.6038647342995168,0.5945945945945946,6.0,2.6,0.2,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.3,-0.7,0.0,0.0,5.0,17.5,2.6,1.6,0.615,2.2,1.4,0.636,0.8,0.6,0.75,5.2,3.0,0.8,3.8,0.8,3.0,-6.2,0.8807588075880759,0.8846153846153845,0.5464289315812353,2020-21
