PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP_REG,MIN_REG,FGA_REG,FGM_REG,FG_PCT_REG,FG3A_REG,FG3M_REG,FG3_PCT_REG,FTA_REG,FTM_REG,FT_PCT_REG,PTS_REG,AST_REG,TOV_REG,REB_REG,OREB_REG,DREB_REG,PLUS_MINUS_REG,TS_PCT_REG,EFG_PCT_REG,GP_CLU,MIN_CLU,FGA_CLU,FGM_CLU,FG_PCT_CLU,FG3A_CLU,FG3M_CLU,FG3_PCT_CLU,FTA_CLU,FTM_CLU,FT_PCT_CLU,PTS_CLU,AST_CLU,TOV_CLU,REB_CLU,OREB_CLU,DREB_CLU,PLUS_MINUS_CLU,TS_PCT_CLU,EFG_PCT_CLU,GP_PO,MIN_PO,FGA_PO,FGM_PO,FG_PCT_PO,FG3A_PO,FG3M_PO,FG3_PCT_PO,FTA_PO,FTM_PO,FT_PCT_PO,PTS_PO,AST_PO,TOV_PO,REB_PO,OREB_PO,DREB_PO,PLUS_MINUS_PO,TS_PCT_PO,EFG_PCT_PO,CLUTCH_SCORE,SEASON
1629644,KZ Okpala,1610612748,MIA,21.0,11.6,3.3,1.4,0.435,1.2,0.4,0.346,0.5,0.4,0.727,3.7,0.7,0.2,2.0,0.5,1.4,0.3,0.5255681818181819,0.48484848484848486,1.0,2.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.5,1.5,,,,,,,,,,,,,,,,,,,,,1.2054924242332414,2021-22
1629645,Kevin Porter Jr.,1610612745,HOU,61.0,31.3,13.2,5.5,0.415,6.8,2.5,0.375,3.2,2.0,0.642,15.6,6.2,3.1,4.4,0.7,3.7,-4.6,0.5339539978094195,0.5113636363636364,22.0,3.9,1.5,0.5,0.313,0.6,0.2,0.286,0.6,0.5,0.769,1.5,0.5,0.4,0.5,0.1,0.4,-0.7,0.42517006802721086,0.39999999999999997,,,,,,,,,,,,,,,,,,,,,0.47279501431738924,2021-22
1629647,Darius Bazley,1610612760,OKC,69.0,27.9,9.4,4.0,0.422,3.9,1.2,0.297,2.5,1.7,0.688,10.8,1.4,1.3,6.3,1.0,5.3,-6.8,0.5142857142857143,0.4893617021276595,28.0,3.9,0.9,0.4,0.385,0.5,0.1,0.267,0.3,0.2,0.625,1.0,0.1,0.1,0.8,0.1,0.7,-1.2,0.4844961240310077,0.5,,,,,,,,,,,,,,,,,,,,,0.5040004555333311,2021-22
1629649,Ignas Brazdeikis,1610612753,ORL,42.0,12.8,4.5,1.9,0.431,2.1,0.6,0.31,0.8,0.5,0.656,5.0,0.9,0.4,1.7,0.5,1.2,-4.1,0.5152514427040396,0.4888888888888888,3.0,1.9,1.0,0.3,0.333,0.3,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.3,0.3,0.3,0.0,-4.0,0.2675840978593272,0.3,,,,,,,,,,,,,,,,,,,,,0.3723621016915153,2021-22
1629651,Nic Claxton,1610612751,BKN,47.0,20.7,5.6,3.8,0.674,0.0,0.0,0.0,2.0,1.1,0.581,8.7,0.9,0.8,5.6,1.9,3.7,-0.6,0.6712962962962963,0.6785714285714286,15.0,3.0,0.7,0.4,0.6,0.0,0.0,0.0,0.3,0.1,0.4,0.9,0.1,0.0,0.9,0.5,0.4,-0.9,0.5408653846153847,0.5714285714285715,4.0,24.5,6.0,4.8,0.792,0.0,0.0,0.0,5.5,1.0,0.182,10.5,1.5,0.5,6.3,1.8,4.5,-2.3,0.6235154394299287,0.7999999999999999,0.6164288973005765,2021-22
1629652,Luguentz Dort,1610612760,OKC,51.0,32.7,14.2,5.7,0.404,7.7,2.5,0.332,3.7,3.2,0.843,17.2,1.7,1.7,4.2,0.7,3.4,-5.8,0.5433409148344706,0.4894366197183099,25.0,3.5,1.8,0.8,0.432,0.8,0.2,0.316,0.9,0.8,0.913,2.6,0.0,0.1,0.3,0.1,0.2,-0.4,0.5919854280510018,0.5,,,,,,,,,,,,,,,,,,,,,0.5884466466492936,2021-22
1629655,Daniel Gafford,1610612764,WAS,72.0,20.1,5.7,4.0,0.693,0.0,0.0,0.0,2.1,1.5,0.699,9.4,0.9,0.9,5.7,2.2,3.5,-2.9,0.7095410628019323,0.7017543859649122,19.0,2.7,0.5,0.3,0.5,0.0,0.0,0.0,0.4,0.4,1.0,0.9,0.1,0.1,0.8,0.4,0.5,0.9,0.665680473372781,0.6,,,,,,,,,,,,,,,,,,,,,0.6890725996721873,2021-22
1629656,Quentin Grimes,1610612752,NYK,46.0,17.1,5.1,2.1,0.404,4.1,1.6,0.381,0.4,0.3,0.684,6.0,1.0,0.6,2.0,0.5,1.5,-1.2,0.5686125852918879,0.5686274509803922,9.0,3.4,0.9,0.3,0.375,0.7,0.2,0.333,0.0,0.0,0.0,0.9,0.0,0.0,0.6,0.2,0.3,-3.1,0.5,0.4444444444444445,,,,,,,,,,,,,,,,,,,,,0.5405179205840318,2021-22
1629658,Jaylen Hoard,1610612760,OKC,7.0,34.2,12.9,6.3,0.489,3.6,1.3,0.36,2.0,0.9,0.429,14.7,2.4,1.1,12.0,4.3,7.7,-12.4,0.5333817126269956,0.5387596899224806,1.0,3.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.18554584219289375,2021-22
1629659,Talen Horton-Tucker,1610612747,LAL,60.0,25.2,9.0,3.7,0.416,3.0,0.8,0.269,2.1,1.7,0.8,10.0,2.7,1.4,3.2,0.6,2.6,-1.5,0.5038291011688836,0.4555555555555556,23.0,2.2,0.4,0.1,0.3,0.1,0.0,0.0,0.1,0.0,0.333,0.3,0.1,0.1,0.1,0.0,0.1,0.0,0.33783783783783783,0.25,,,,,,,,,,,,,,,,,,,,,0.397612703392137,2021-22
