PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP_REG,MIN_REG,FGA_REG,FGM_REG,FG_PCT_REG,FG3A_REG,FG3M_REG,FG3_PCT_REG,FTA_REG,FTM_REG,FT_PCT_REG,PTS_REG,AST_REG,TOV_REG,REB_REG,OREB_REG,DREB_REG,PLUS_MINUS_REG,TS_PCT_REG,EFG_PCT_REG,GP_CLU,MIN_CLU,FGA_CLU,FGM_CLU,FG_PCT_CLU,FG3A_CLU,FG3M_CLU,FG3_PCT_CLU,FTA_CLU,FTM_CLU,FT_PCT_CLU,PTS_CLU,AST_CLU,TOV_CLU,REB_CLU,OREB_CLU,DREB_CLU,PLUS_MINUS_CLU,TS_PCT_CLU,EFG_PCT_CLU,GP_PO,MIN_PO,FGA_PO,FGM_PO,FG_PCT_PO,FG3A_PO,FG3M_PO,FG3_PCT_PO,FTA_PO,FTM_PO,FT_PCT_PO,PTS_PO,AST_PO,TOV_PO,REB_PO,OREB_PO,DREB_PO,PLUS_MINUS_PO,TS_PCT_PO,EFG_PCT_PO,CLUTCH_SCORE,CLUTCH_SCORE_STD,SEASON
1630183,Jaden McDaniels,1610612750,MIN,79.0,30.6,9.1,4.7,0.517,3.4,1.4,0.398,1.8,1.3,0.736,12.1,1.9,1.4,3.9,1.2,2.7,0.9,0.6116053376465831,0.5934065934065935,43.0,3.7,0.8,0.3,0.324,0.5,0.1,0.3,0.3,0.3,0.8,0.9,0.2,0.1,0.4,0.1,0.3,0.0,0.48283261802575106,0.43749999999999994,,,,,,,,,,,,,,,,,,,,,0.5345480666896045,-1.8276505357768595,2022-23
1630188,Jalen Smith,1610612754,IND,68.0,18.8,7.5,3.6,0.476,2.8,0.8,0.283,2.0,1.5,0.759,9.4,1.0,1.1,5.8,1.9,3.9,-1.4,0.5608591885441527,0.5333333333333333,16.0,1.7,0.3,0.1,0.5,0.1,0.0,0.0,0.4,0.3,0.833,0.6,0.0,0.2,0.6,0.3,0.3,-0.1,0.6302521008403361,0.33333333333333337,,,,,,,,,,,,,,,,,,,,,0.6111211300744083,-0.46991764434068095,2022-23
1630191,Isaiah Stewart,1610612765,DET,50.0,28.3,8.8,3.9,0.442,4.1,1.3,0.327,3.0,2.2,0.738,11.3,1.4,1.4,8.1,2.3,5.8,-4.5,0.558300395256917,0.5170454545454545,18.0,3.2,0.6,0.2,0.364,0.3,0.1,0.167,0.4,0.3,0.857,0.8,0.2,0.0,0.9,0.3,0.6,-0.8,0.5154639175257733,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,0.5365609252535615,-1.7919601224998107,2022-23
1630192,Zeke Nnaji,1610612743,DEN,53.0,13.7,3.7,2.1,0.561,1.2,0.3,0.262,1.2,0.8,0.645,5.2,0.3,0.6,2.6,1.2,1.4,-1.8,0.6149479659413435,0.6081081081081081,8.0,1.9,0.1,0.0,0.0,0.1,0.0,0.0,1.0,0.4,0.375,0.4,0.0,0.1,0.5,0.3,0.3,-2.4,0.37037037037037035,0.0,5.0,2.4,0.8,0.4,0.5,0.6,0.2,0.333,0.0,0.0,0.0,1.0,0.0,0.2,0.4,0.0,0.4,-1.2,0.625,0.625,0.5411508204823197,-1.7105757368573808,2022-23
1630193,Immanuel Quickley,1610612752,NYK,81.0,28.9,11.6,5.2,0.448,5.6,2.1,0.37,3.1,2.5,0.819,14.9,3.4,1.2,4.2,0.7,3.4,3.9,0.5746683122493058,0.5387931034482759,34.0,3.4,1.0,0.2,0.242,0.6,0.1,0.105,0.1,0.1,0.75,0.6,0.3,0.1,0.2,0.1,0.2,-1.6,0.28735632183908044,0.25,8.0,21.9,8.3,2.9,0.348,4.6,1.1,0.243,2.5,2.1,0.85,9.0,1.0,1.1,1.6,0.3,1.4,2.5,0.4787234042553191,0.41566265060240964,0.43954588443666665,-3.512153961672529,2022-23
1630194,Paul Reed,1610612755,PHI,69.0,10.9,3.0,1.8,0.593,0.1,0.0,0.167,0.7,0.6,0.745,4.2,0.4,0.7,3.8,1.6,2.2,-0.2,0.6348246674727933,0.6,7.0,2.0,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.4,-2.1,1.4999999999999998,1.0,11.0,14.3,3.5,2.0,0.579,0.0,0.0,0.0,0.6,0.6,1.0,4.6,0.6,0.5,5.5,2.5,3.0,0.5,0.6110520722635493,0.5714285714285714,0.9146634807094622,4.912254821843492,2022-23
1630197,Aleksej Pokusevski,1610612760,OKC,34.0,20.6,7.3,3.2,0.434,3.1,1.1,0.365,1.0,0.6,0.629,8.1,1.9,1.3,4.7,1.3,3.4,-5.8,0.5232558139534883,0.5136986301369864,13.0,4.1,1.3,0.5,0.353,0.6,0.2,0.375,0.5,0.3,0.571,1.5,0.3,0.0,0.8,0.1,0.7,-0.4,0.4934210526315789,0.4615384615384615,,,,,,,,,,,,,,,,,,,,,0.5211741922478581,-2.0647854813156883,2022-23
1630198,Isaiah Joe,1610612760,OKC,73.0,19.1,7.0,3.1,0.441,5.4,2.2,0.409,1.4,1.1,0.82,9.5,1.2,0.5,2.4,0.4,2.0,2.9,0.623686974789916,0.6,30.0,1.7,0.7,0.2,0.333,0.6,0.2,0.353,0.1,0.0,0.5,0.7,0.1,0.0,0.2,0.0,0.1,0.0,0.4704301075268817,0.42857142857142866,,,,,,,,,,,,,,,,,,,,,0.5315157299464646,-1.88141752839908,2022-23
1630200,Tre Jones,1610612759,SAS,68.0,29.2,10.9,5.0,0.459,2.3,0.7,0.285,2.5,2.2,0.86,12.9,6.6,1.6,3.6,0.8,2.8,-4.8,0.5375,0.49082568807339444,22.0,3.7,1.2,0.5,0.423,0.2,0.1,0.5,0.9,0.7,0.842,1.8,0.6,0.4,0.4,0.0,0.4,-1.4,0.5639097744360902,0.45833333333333337,,,,,,,,,,,,,,,,,,,,,0.5661156906016435,-1.2679184394589225,2022-23
1630201,Malachi Flynn,1610612761,TOR,53.0,13.0,4.6,1.6,0.36,2.5,0.9,0.353,0.6,0.5,0.758,4.6,1.3,0.5,1.4,0.3,1.2,-0.8,0.4728618421052631,0.44565217391304357,6.0,2.7,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.2,0.3,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.16849017925011606,-8.31829896979092,2022-23
1630202,Payton Pritchard,1610612738,BOS,48.0,13.4,5.1,2.1,0.412,3.2,1.2,0.364,0.3,0.3,0.75,5.6,1.3,0.8,1.8,0.5,1.3,0.3,0.5351681957186545,0.5294117647058825,3.0,3.0,1.7,0.3,0.2,1.3,0.3,0.25,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.0,-0.7,0.29411764705882354,0.2647058823529412,10.0,5.7,2.2,1.2,0.545,1.0,0.4,0.4,0.5,0.4,0.8,3.2,1.1,0.5,0.6,0.0,0.6,0.8,0.6611570247933883,0.6363636363636362,0.5511457606962085,-1.5333533759321156,2022-23
1630205,Lamar Stevens,1610612739,CLE,62.0,18.1,4.6,2.1,0.448,1.5,0.5,0.316,0.9,0.6,0.702,5.3,0.5,0.4,3.3,0.8,2.6,0.1,0.5304243394715773,0.5108695652173914,12.0,2.6,0.6,0.5,0.857,0.2,0.2,1.0,0.5,0.3,0.5,1.4,0.1,0.1,0.7,0.3,0.4,-0.5,0.8536585365853658,1.0,2.0,4.4,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,2.5,0.0,0.0,1.5,0.0,1.5,3.5,0.8680555555555556,0.75,0.8200281581428632,3.23425626124466,2022-23
1630206,Jay Scrubb,1610612753,ORL,2.0,15.1,3.5,2.5,0.714,1.0,1.0,1.0,1.0,0.5,0.5,6.5,0.5,1.5,3.0,0.0,3.0,-8.0,0.8248730964467005,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8248730964467005,3.3201628686248768,2022-23
